model,LaSEuuNG54CdpH9KCxTnZ3,WFFEvxz8jWpSksta4Xv9zD,QGpFDyyng6eQuLsZmCXHN3,PAZ7fffXvj4QBQ85Qanvyn,6G4fJmXCGovwKtGhYCa5nU,VkpknoHhkkJMefyo2TdZqe,MftiU6RXAZed46kn3BDADs,9paEifSShnovXWLnGUGnfR,BLwn5wtTHP7keBboTjefVR,kDgoPDmeRva4WGUEW4J5Ed,HPs7uHdZstxvxxHHZCyfjy,mmbkGLz7MicqB7XDzstNrA,Qx79cAxrfZvKmxhGikNgAq,aaHFmZQMcNwHeztxhTUx7G,RKR8ZqDoVzxq35zA9cPKVd,6FHsD3yRQKYto8msEWotGs,KPKgSk3vGQApejNEBdAhmB,daB5K9rQt6KjBUH3MfvG3r,V2xXcqRGqN25cURWVL3jjL,5AXKayng4qcjqfnstB9a97,mereioLeijZLUmoKgqoGbV,GR3CS2ez3i28cxremJwsbr,JxeXujiCXaB6cfLJBuBmjz,TbeKdk2jhfTfZ7fJFDDdp9,BVrHxYkpy6FSU673oYYkkL,RYBJcPB4RzqNPBwTf92mF4,DdpiNif4J8HQkhNboLi3PR,gSdNvEPgxUcrnq34pJGwxQ,5DmYaffmH7SMg5JDoYoxwp,RLWXLsMw3nfX8RShVgZN5u,A6ABxN4UiLSAEg9o5LG7rg,56Mq79ZAzSiJTppo9Z3ghS,QCc9qsyPyuYmJCSCCrcd4b,GcC3o8Aim4GomGL5sjQpKc,M8m5TZL66PJGodRgMQZVxK,CwkkWjBySsr4pEN5PDhHjQ,V7bUjFGgCcKU4Xz3p9zpm4,XPfkQA2Y6TYsyjq3PiWJPa,Ms5tjifAoCaPuCSkEMhzXw,eXwkFgRKqVHn2EPpSWBNsF
AXCXEPT__EZO-Qwen2.5-72B-Instruct,0.9,0.3,0.8,0.2,1.0,0.9,0.9,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,0.9,0.9,1.0,0.9,0.9,0.9,0.9,1.0,0.9,0.8,1.0,0.9,0.9,0.9,0.9,1.0,1.0
CohereForAI__aya-23-35b,1.0,0.2,0.7,0.3,0.7,0.7,0.6,0.2,0.9,1.0,0.6,0.7,0.9,0.8,0.8,0.6,0.8,0.1,0.4,0.8,0.7,0.6,0.3,0.4,0.8,0.1,0.1,0.6,0.9,0.7,0.9,0.2,0.8,1.0,0.9,0.6,0.4,0.8,0.8,0.7
CohereForAI__aya-expanse-32b,1.0,0.7,0.7,0.4,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.8,0.9,0.7,0.8,0.7,0.9,0.8,0.6,0.8,0.8,0.2,0.8,0.8,0.9,1.0,0.7,0.9,0.8,0.8,0.7,0.9,1.0,0.8,0.9,0.8,0.8,0.8,0.9
CohereForAI__c4ai-command-r-plus,1.0,0.7,0.9,1.0,0.9,1.0,0.9,0.9,0.9,0.9,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,,0.9,0.9,0.9,0.8,0.9,0.9,1.0,1.0,0.9,0.9,0.8,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.8,0.9,0.8
CohereForAI__c4ai-command-r-plus-08-2024,1.0,1.0,0.9,1.0,0.9,1.0,0.9,0.8,0.8,0.9,0.8,0.9,0.8,0.8,0.8,0.6,1.0,0.9,0.8,0.8,0.9,0.6,0.4,0.7,0.5,0.7,0.7,0.9,0.9,0.6,0.6,0.9,0.8,0.8,0.9,0.7,0.9,0.8,0.8,0.9
CohereForAI__c4ai-command-r-v01,1.0,0.8,0.4,0.2,0.9,0.9,0.6,0.8,1.0,1.0,1.0,0.9,0.9,1.0,0.8,0.8,0.8,1.0,0.9,0.9,1.0,0.9,0.9,0.9,0.9,1.0,0.9,0.8,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9,1.0,0.8,0.8
DataPilot__ArrowPro-7B-KUJIRA,0.9,0.6,0.8,,1.0,0.8,0.7,0.8,0.8,1.0,0.8,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.8,1.0,1.0,1.0,0.9,0.9,1.0,1.0,0.8,0.8,0.9,1.0,0.9,0.9,0.9,0.9,0.8,0.8,0.7,0.8,0.8
DataPilot__ArrowPro-7B-RobinHood,0.9,0.3,0.8,0.2,0.8,0.9,0.8,0.4,0.8,0.9,0.9,,1.0,0.9,1.0,0.9,0.9,0.9,0.9,,0.9,0.9,0.9,0.9,0.8,0.9,1.0,0.9,0.8,0.7,0.8,0.9,0.9,0.9,0.8,0.8,0.9,0.8,0.9,0.9
DeepSeek-V3-Q2_K_XS,0.9,1.0,0.8,0.7,0.9,0.9,0.9,0.8,1.0,0.8,1.0,0.9,0.9,0.9,0.7,0.8,1.0,1.0,0.9,0.8,0.8,0.9,1.0,0.9,1.0,0.9,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.9,0.9,1.0,0.9,0.9
DeepSeek-V3-Q5_K_M,1.0,0.8,0.9,0.8,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.8,1.0,1.0,0.9,1.0,1.0,1.0,1.0,0.8,0.9,0.9
DeepSeek-V3-slice-jp64-gguf,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.7,0.1,1.0,0.1,0.9,0.1,0.1,0.8,0.2,0.9,0.8,0.1,0.6,1.0,0.1,0.1,0.7,0.8,0.7,0.2,0.9,0.4,0.6,0.9,0.9,1.0,0.7,0.4,0.9,0.8,0.9,1.0
Deepreneur__blue-lizard,0.1,0.1,0.3,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.5,0.1,0.1,0.4,0.7,0.4,0.1,0.2,0.4,0.1,0.1,0.2,0.4,0.4,0.4,0.5,0.1,0.4,0.1,0.4,0.8,0.1,0.4,0.7,0.3,0.5,0.5
FuseAI__FuseO1-DeepSeekR1-QwQ-SkyT1-32B-Preview,0.6,0.4,0.2,0.2,0.1,0.6,0.6,0.1,0.5,0.2,0.8,0.9,0.5,0.9,0.3,0.8,0.8,0.2,0.8,1.0,0.4,0.9,0.8,0.6,0.8,0.1,0.9,0.9,0.4,0.9,0.8,0.9,0.9,0.9,0.8,0.8,0.6,0.8,0.8,0.8
Llama-3.1-Tulu-3-405B-FP8-Dynamic,1.0,0.8,0.9,0.4,0.9,0.9,0.8,0.7,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.9,1.0,1.0,0.9,0.9,0.9,0.7,0.9,0.9,0.8,0.9,0.9
Mistral-Nemo-Japanese-Instruct-2408-FP8,1.0,0.6,0.5,0.3,0.9,0.6,0.3,0.4,0.9,1.0,1.0,1.0,0.8,0.9,0.9,0.8,0.8,1.0,0.8,0.3,1.0,0.9,1.0,0.7,0.9,0.9,0.9,0.9,1.0,0.8,0.7,0.3,1.0,0.9,0.9,0.9,1.0,0.8,0.8,0.9
Mistral-Nemo-Japanese-Instruct-2408-GPTQ-w4a16-gs128,0.9,0.5,0.4,0.5,0.8,0.9,0.4,0.3,0.9,1.0,1.0,0.7,0.9,0.8,1.0,0.8,0.9,1.0,0.9,0.3,0.7,1.0,0.9,0.7,0.9,1.0,0.9,0.9,1.0,0.7,0.6,0.8,1.0,0.9,1.0,0.8,1.0,1.0,0.9,0.9
Mistral-Nemo-Japanese-Instruct-2408-GPTQ-w4a16-gs32,1.0,0.2,0.8,0.2,0.9,0.9,0.4,0.7,0.2,1.0,1.0,0.7,0.8,0.9,1.0,1.0,0.9,0.9,0.8,0.3,1.0,0.9,0.8,1.0,0.9,0.9,0.9,0.9,0.8,1.0,1.0,0.9,0.9,1.0,0.9,0.8,0.9,0.8,0.8,0.9
Mistral-Nemo-Japanese-Instruct-2408-GPTQ-w4a16-gs32-noact,1.0,0.5,0.5,0.2,0.7,0.9,0.6,0.2,0.5,1.0,1.0,0.7,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.4,0.8,1.0,0.9,1.0,1.0,0.9,0.6,0.9,1.0,0.9,0.9,0.4,1.0,0.9,0.9,0.8,0.9,0.9,0.9,0.8
Mistral-Nemo-Japanese-Instruct-2408-W8A8,1.0,0.3,0.7,0.2,0.3,0.9,0.6,0.8,0.8,0.9,1.0,0.7,0.9,1.0,0.9,0.9,0.8,0.9,0.8,0.3,1.0,1.0,0.9,1.0,1.0,1.0,0.8,0.9,0.9,0.9,1.0,0.2,0.9,1.0,1.0,0.8,0.9,0.9,0.8,0.9
Mistral-Nemo-Japanese-Instruct-2408-q4f16_1-MLC,1.0,0.4,0.2,0.3,0.3,0.7,0.4,0.4,0.9,0.9,0.9,0.7,0.8,0.9,0.9,0.8,0.9,0.9,0.8,0.3,0.9,1.0,0.9,0.8,0.8,1.0,0.8,0.9,0.9,0.8,1.0,0.2,1.0,1.0,0.9,0.9,1.0,0.8,0.9,0.8
Nexusflow__Athene-V2-Chat,1.0,0.7,0.9,0.8,0.9,0.9,0.7,1.0,0.9,1.0,0.9,0.9,0.8,1.0,0.9,0.9,0.8,0.9,1.0,1.0,0.9,0.9,0.9,0.9,1.0,0.9,1.0,1.0,0.9,0.9,0.9,1.0,0.8,1.0,0.9,0.7,1.0,0.9,0.8,1.0
Nexusflow__Starling-LM-7B-beta,0.1,0.1,0.2,0.1,0.4,0.1,0.1,0.1,0.8,0.1,0.2,0.2,0.9,0.1,0.4,0.1,0.3,0.7,0.9,0.4,0.6,0.2,0.4,0.1,0.2,0.9,0.9,0.6,0.9,0.2,0.6,0.1,0.9,0.9,0.1,0.8,0.9,0.6,0.7,0.8
NousResearch__Hermes-3-Llama-3.1-405B,1.0,0.8,0.9,0.7,1.0,0.9,0.9,0.2,0.1,1.0,0.6,0.9,0.8,0.5,0.6,0.7,0.7,0.9,0.8,0.6,0.9,0.8,0.6,0.6,0.7,1.0,0.8,0.6,0.8,0.9,0.7,0.7,0.9,0.9,0.7,0.9,0.8,0.7,0.7,0.6
Qwen__Qwen1.5-14B-Chat,0.2,0.1,0.5,0.2,0.8,0.2,0.4,0.2,0.9,0.7,0.9,0.9,0.9,0.5,0.8,0.4,0.8,0.9,0.8,0.4,0.9,0.9,0.7,0.1,0.9,0.9,1.0,0.7,0.8,0.9,0.7,0.3,0.6,0.8,0.7,0.8,0.8,0.8,0.8,0.58
Qwen__Qwen1.5-32B-Chat,0.7,0.2,0.2,0.1,0.4,0.8,0.6,0.1,0.9,0.9,0.9,0.6,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.7,,1.0,0.9,0.9,0.9,1.0,0.9,0.7,0.9,0.6,0.9,0.2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Qwen__Qwen1.5-72B-Chat,0.3,0.9,0.4,0.2,0.7,0.7,0.8,0.2,0.8,0.9,1.0,0.9,0.8,0.9,1.0,0.7,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.8,0.8,0.1,0.9,0.8,0.9,1.0,0.9,0.8,0.8,0.6
Qwen__Qwen1.5-7B-Chat,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.7,0.9,0.7,0.9,0.9,0.5,0.8,0.4,1.0,1.0,0.5,0.3,0.3,0.8,0.8,0.8,0.5,0.1,0.2,0.1,0.7,0.3,0.3,0.2,,0.5,0.3,0.8,0.7,0.7,0.3,0.8
Qwen__Qwen2-7B-Instruct,0.7,0.1,0.1,0.1,0.6,0.2,0.6,0.1,0.6,0.7,0.9,0.5,0.8,0.8,0.9,0.9,0.9,0.8,0.9,0.8,0.8,1.0,0.6,0.2,0.8,1.0,0.8,0.3,1.0,0.2,1.0,0.1,0.9,1.0,0.8,0.9,0.9,0.9,0.8,0.9
Qwen__Qwen2.5-32B-Instruct,0.7,0.6,0.7,0.3,0.9,0.9,0.8,0.1,0.6,0.9,0.9,0.8,0.9,0.8,0.9,0.9,0.8,0.8,0.8,0.9,0.8,0.8,0.9,0.9,0.8,1.0,0.9,0.8,0.9,0.9,0.7,0.8,0.9,0.8,0.9,0.7,0.8,0.8,0.7,0.7
Qwen__Qwen2.5-72B-Instruct,1.0,0.9,0.9,0.3,0.9,0.9,0.6,0.8,1.0,1.0,0.9,0.9,0.8,0.9,0.9,0.8,0.9,1.0,0.9,0.9,1.0,1.0,1.0,0.8,0.8,0.9,1.0,0.9,0.9,1.0,0.8,0.9,0.9,1.0,1.0,0.8,1.0,0.8,0.9,1.0
Rakuten__RakutenAI-7B-chat,1.0,1.0,0.7,0.2,0.5,0.9,0.9,0.2,0.9,0.8,0.8,0.8,0.7,0.8,0.6,0.8,0.7,0.5,0.8,0.6,0.6,0.7,0.3,0.1,0.7,0.6,0.8,0.7,0.5,0.3,0.4,0.4,0.8,0.8,0.9,0.6,0.8,0.9,0.6,0.6
THUDM__glm-4-9b-chat,0.4,0.4,0.6,0.2,0.4,0.4,0.3,0.1,,0.6,0.9,1.0,0.8,,0.8,0.6,0.9,1.0,0.8,0.6,0.7,0.9,0.8,0.5,0.7,0.9,0.8,0.7,0.8,0.7,1.0,,0.7,0.7,0.6,0.8,0.8,0.8,1.0,0.9
__fsx__ubuntu__meti__train__outputs__shisa-v1-tulu3.1-8b,0.9,0.2,0.1,0.1,0.4,0.1,0.2,0.1,0.1,0.4,0.8,0.1,0.5,0.4,0.3,0.3,0.7,0.9,0.4,0.1,0.2,0.9,0.2,0.1,0.3,0.6,0.5,0.7,0.8,0.2,0.2,0.2,0.8,0.4,0.3,0.3,0.3,0.7,0.4,0.9
ablation-02-llama31-shisa-v2-llama3.1-8b.lr-8e6,1.0,0.2,0.4,0.1,0.5,0.1,0.6,0.1,0.8,0.9,0.4,0.8,0.3,0.9,0.8,0.7,0.9,0.6,0.8,0.4,0.4,0.9,0.9,0.8,0.6,0.8,0.9,0.7,0.8,0.3,0.4,0.2,0.9,0.9,0.7,0.6,0.9,0.8,0.9,0.6
ablation-60-a55.dpo.enja-shisa-v2-llama-3.1-8b,0.9,0.9,0.9,0.2,1.0,0.9,0.7,0.1,1.0,0.9,1.0,0.8,1.0,0.5,0.9,0.9,0.9,0.9,0.9,0.7,0.7,0.9,0.9,0.8,0.7,0.9,0.8,0.9,0.9,0.4,1.0,1.0,0.9,0.8,1.0,0.6,0.9,0.9,0.8,0.9
allenai__Llama-3.1-Tulu-3-70B,1.0,0.7,0.7,0.2,1.0,0.9,0.9,0.9,0.5,1.0,0.9,0.9,0.9,0.9,0.9,0.8,1.0,1.0,0.8,0.9,0.9,0.9,1.0,0.9,0.9,1.0,0.9,0.8,0.9,1.0,0.9,0.2,0.8,0.9,0.9,0.8,1.0,0.9,1.0,0.9
allenai__Llama-3.1-Tulu-3-8B,1.0,0.2,0.4,0.1,0.6,0.2,0.7,0.2,0.8,0.9,0.6,0.9,0.8,0.8,0.7,0.8,1.0,0.8,0.8,0.8,1.0,0.9,0.7,0.3,0.6,1.0,0.8,0.8,0.8,0.4,0.4,0.2,0.8,0.9,0.6,0.9,1.0,0.9,0.8,0.9
allenai__OLMo-2-1124-13B-Instruct,0.2,0.2,0.3,0.1,0.1,0.2,0.1,0.1,0.4,0.1,0.8,0.4,0.8,0.2,0.3,0.3,0.8,0.8,0.2,0.2,0.2,0.6,0.2,0.1,0.4,0.3,0.4,0.5,0.7,0.3,0.7,0.1,0.9,0.9,0.1,0.6,0.8,0.7,0.6,0.3
allenai__OLMo-2-1124-7B-Instruct,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.7,0.2,0.4,0.3,0.6,0.4,0.4,0.2,0.2,0.2,0.1,0.1,0.1,0.4,0.1,0.3,0.4,0.2,0.2,0.1,0.4,0.6,0.1,,0.5,0.4,0.4,0.4
augmxnt__shisa-7b-v1,0.4,0.2,0.4,0.1,0.5,0.3,0.2,0.2,0.6,0.9,0.7,,0.8,,0.3,0.1,0.8,0.4,0.6,0.3,0.9,0.4,0.4,0.2,0.4,0.6,0.9,0.3,0.4,0.3,0.8,0.1,0.9,0.9,0.4,0.6,0.9,0.5,0.3,0.6
augmxnt__shisa-gamma-7b-v1,1.0,0.4,0.7,0.1,0.6,0.8,0.7,0.6,0.1,0.8,0.9,0.8,0.7,0.6,0.5,,0.7,0.9,0.7,0.7,0.8,0.5,0.6,0.9,0.6,0.9,0.8,0.8,0.8,0.4,0.7,0.8,0.8,0.8,0.8,0.4,0.7,0.8,0.8,0.7
basemodel-llama3-70b.8e6,1.0,0.9,0.6,0.1,0.9,0.3,0.6,0.1,0.9,0.4,0.8,0.5,0.9,0.3,0.8,0.1,0.7,0.8,0.9,0.9,1.0,0.8,0.7,0.9,1.0,0.9,1.0,0.4,1.0,0.6,0.6,0.3,0.9,0.9,0.9,0.9,0.9,0.7,0.8,0.9
claude-3-5-sonnet-20240620,1.0,1.0,0.8,1.0,0.9,0.9,0.9,0.9,1.0,1.0,1.0,0.9,0.9,0.8,0.9,0.9,1.0,1.0,0.8,0.9,1.0,0.9,0.9,0.9,1.0,0.9,0.9,1.0,1.0,0.9,1.0,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.7,0.8
claude-3-haiku-20240307,1.0,0.8,0.8,0.6,0.9,0.9,1.0,0.8,0.9,1.0,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.8,0.7,0.8,0.9,0.9,0.8,0.8,1.0,0.9,0.9,0.9,0.9,1.0,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9
claude-3-opus-20240229,1.0,0.9,0.8,0.4,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.8,0.7,0.9,0.9,0.8,0.9,0.9,0.9,1.0,0.8,0.9,1.0,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.8,0.8,0.8
claude-3-sonnet-20240229,1.0,0.8,0.7,0.2,0.9,0.9,0.9,0.2,0.8,0.9,1.0,0.8,0.7,0.8,0.9,,0.8,0.8,0.9,0.8,0.9,0.9,0.8,0.7,0.8,0.8,0.9,0.9,0.8,0.9,0.8,0.8,0.9,0.9,0.9,0.8,1.0,0.8,0.6,0.8
cognitivecomputations__dolphin-2.9.2-qwen2-7b,0.1,0.1,0.3,0.1,0.3,0.1,0.6,0.2,0.8,1.0,0.3,0.2,0.9,0.5,0.4,0.4,0.9,1.0,0.8,0.4,0.8,0.8,0.6,0.5,0.6,0.7,0.8,0.7,0.8,0.4,0.4,0.2,0.8,0.8,0.5,0.7,0.9,0.7,0.7,0.7
cyberagent__Llama-3.1-70B-Japanese-Instruct-2407,0.9,0.9,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.4,0.9,1.0,0.8,1.0,0.6,0.8,0.9,0.8,0.9,0.9,0.9,1.0,0.9,0.8,1.0,0.7,0.7,1.0,0.9,1.0,0.9,0.9,0.8,0.9,0.9,0.7,0.9,0.9,0.9
cyberagent__Mistral-Nemo-Japanese-Instruct-2408,1.0,0.5,0.6,0.2,0.8,0.9,0.5,0.8,0.9,0.9,1.0,0.8,1.0,0.9,0.8,0.9,0.8,0.8,0.9,0.4,0.9,0.9,0.8,0.8,0.8,1.0,1.0,0.8,1.0,0.8,1.0,0.2,1.0,1.0,0.9,0.9,0.9,0.7,0.9,0.9
cyberagent__calm2-7b-chat,1.0,0.2,0.2,0.4,0.8,0.9,0.9,0.1,0.2,0.8,0.6,0.4,0.6,0.5,0.6,0.6,0.1,0.9,0.3,0.1,0.7,0.7,0.1,0.7,0.2,0.7,0.9,0.6,0.7,0.5,0.6,0.6,0.8,0.9,0.9,0.4,0.6,0.8,0.8,0.6
dahara1__DeepSeek-R1-Distill-Qwen-14B-unsloth-jpn,0.9,0.2,0.2,0.2,0.7,0.1,0.4,0.1,0.9,0.2,0.3,0.1,0.7,0.1,0.1,0.1,0.1,0.9,0.6,0.3,0.3,0.5,0.1,0.1,0.6,0.1,0.3,0.6,0.7,0.3,0.7,0.1,0.7,0.9,0.1,0.6,0.7,0.4,0.1,0.7
deepseek-ai__DeepSeek-R1,1.0,1.0,0.9,0.8,1.0,1.0,0.9,0.9,1.0,1.0,1.0,0.9,0.9,0.9,1.0,1.0,0.9,0.9,0.9,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0,0.9,0.9,1.0,1.0,0.9,1.0,0.9,1.0,1.0,0.9,1.0,0.9,0.9
deepseek-ai__DeepSeek-V2.5-1210,1.0,0.9,0.4,0.9,0.6,1.0,0.6,0.6,0.8,1.0,0.2,0.6,0.3,0.6,0.4,0.6,0.5,0.8,0.7,0.4,0.6,0.6,0.6,0.3,0.2,0.7,0.6,0.4,0.6,0.4,0.1,0.6,0.6,0.6,0.4,0.4,0.6,0.6,0.5,0.6
deepseek-ai__DeepSeek-V3,1.0,0.6,0.8,0.6,1.0,1.0,0.9,0.9,1.0,1.0,1.0,0.9,0.9,0.9,1.0,0.9,0.9,1.0,0.8,1.0,1.0,0.9,1.0,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,0.9,0.9,1.0
deepseek-chat,1.0,0.9,1.0,0.6,1.0,1.0,0.8,0.9,1.0,0.9,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,1.0,1.0,0.9,0.9,1.0,1.0,1.0,0.9,0.9,0.9,1.0,1.0,1.0,0.9,1.0,1.0,0.9,1.0,0.9,0.9
deepseek__deepseek-chat,0.9,0.8,0.7,0.7,0.9,0.9,0.9,0.7,0.9,0.9,1.0,0.9,0.9,0.9,1.0,0.9,0.9,0.8,0.8,0.8,1.0,1.0,0.8,0.9,1.0,0.9,0.9,0.9,0.9,0.7,0.8,0.8,0.9,0.9,0.9,0.8,0.9,0.9,0.8,0.8
elyza__ELYZA-japanese-Llama-2-13b-instruct,1.0,0.2,0.9,0.2,0.8,0.9,0.5,0.1,0.3,0.6,0.8,0.8,0.5,0.6,0.5,0.8,0.7,0.6,0.7,0.4,0.4,0.4,0.5,0.3,0.6,0.4,0.9,0.6,0.8,0.3,0.4,0.4,0.8,0.6,0.2,0.3,0.7,0.8,0.7,0.5
elyza__Llama-3-ELYZA-JP-8B,1.0,0.9,0.6,0.3,0.9,0.9,0.8,0.1,0.9,0.9,1.0,0.7,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.7,0.7,0.8,0.8,0.9,0.7,0.8,0.9,0.9,0.9,1.0,0.9,0.8,0.8,0.9,0.8,0.8,0.9
fireworks_ai__accounts__fireworks__models__llama-v3p1-405b-instruct,1.0,0.8,0.7,1.0,0.9,1.0,0.8,0.4,0.7,0.8,0.9,1.0,0.5,0.3,0.8,0.9,0.6,0.9,0.8,0.4,0.9,0.8,0.8,0.6,0.6,0.9,0.8,0.8,0.9,0.7,0.9,0.2,0.7,0.4,0.6,0.2,0.6,0.9,0.7,0.7
fireworks_ai__accounts__fireworks__models__llama-v3p1-70b-instruct,1.0,0.8,0.8,0.1,0.9,0.8,0.6,0.9,0.9,0.8,1.0,0.9,0.8,0.8,0.9,0.9,0.9,1.0,0.8,0.9,0.6,0.8,0.8,0.6,0.8,0.9,0.8,0.6,0.9,0.7,0.4,0.2,0.8,0.9,0.7,0.4,0.8,0.8,0.8,0.8
fireworks_ai__accounts__fireworks__models__llama-v3p1-8b-instruct,1.0,0.3,0.3,0.2,0.1,0.3,0.2,0.1,0.4,0.4,0.9,0.8,0.6,0.2,0.2,0.8,0.7,0.8,0.9,0.2,0.9,0.6,0.8,0.1,0.6,0.6,1.0,0.3,0.6,0.3,0.4,0.1,0.8,0.9,0.2,0.4,0.8,0.6,0.5,0.1
gemini-1.5-flash,1.0,0.7,0.9,0.8,1.0,0.9,0.8,0.9,1.0,0.9,0.9,0.9,0.8,0.9,0.8,0.9,0.9,1.0,0.9,1.0,0.8,0.9,1.0,0.9,1.0,1.0,0.9,0.8,0.9,1.0,0.9,0.2,0.9,1.0,0.9,0.8,0.9,0.8,0.9,0.9
gemini-1.5-pro,1.0,0.9,0.8,0.9,0.9,0.9,1.0,1.0,0.9,0.9,1.0,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.9,1.0,0.9,0.9,1.0,0.9,1.0,0.8,1.0,0.8,0.9,0.9
global_step3500_hf,1.0,0.9,0.9,0.2,0.9,0.9,0.8,0.9,1.0,0.9,0.8,0.9,0.9,0.9,0.9,0.9,1.0,1.0,0.8,0.9,1.0,0.9,1.0,0.9,1.0,1.0,0.9,0.9,0.9,1.0,0.8,0.9,1.0,0.8,0.9,0.9,1.0,0.8,1.0,1.0
google__gemma-2-9b-it,1.0,0.3,0.4,0.2,0.9,0.9,0.6,0.1,1.0,0.9,0.9,0.9,0.8,0.9,0.9,0.8,0.9,0.8,0.8,0.8,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.7,0.9,0.6,1.0,1.0,0.7,0.8,0.9,0.8,0.8,0.9
gpt-3.5-turbo-0125,1.0,0.4,0.4,0.2,0.9,0.8,1.0,0.8,0.6,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.9,0.7,0.9,0.7,0.9,0.8,0.8,0.7,0.8,1.0,0.7,0.8,0.9,0.7,0.7,0.2,,0.9,0.8,0.8,0.8,0.8,0.8,0.8
gpt-4-turbo-2024-04-09,1.0,0.9,0.8,0.9,0.9,1.0,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.8,0.8,0.9,1.0,0.9,0.8,1.0,1.0,0.9,0.9,0.9,1.0,0.9,0.9,0.9,1.0,1.0,1.0,0.9,0.9,0.9,1.0,0.9,0.9,0.8,1.0
gpt-4-turbo-preview,1.0,0.9,0.9,0.9,0.9,0.9,0.8,1.0,0.9,1.0,0.9,0.9,0.9,1.0,0.9,0.9,1.0,1.0,0.8,0.9,0.9,1.0,1.0,0.9,0.9,0.9,1.0,0.9,1.0,0.8,1.0,0.9,0.9,0.9,1.0,0.9,1.0,0.9,0.9,1.0
